-----------560-----------
6232,bee,1,b e e h i v e,3 8 11 13 14 16 17,- e - e -,b - e h i v -,"Simple edit score, Progressive alignment with LCS"
-----------6234-----------
6233,bee,2,b e e h i v e s,6 8 11 13 14 16 17 18,- e - e -,b - h i v e s,"Simple edit score, Progressive alignment"
6233,bee,2,b e e h i v e s,3 8 11 13 14 16 17 18,- e - e -,b - e h i v - s,"Simple edit score, Progressive alignment with LCS"
-----------6235-----------
6234,bee,3,b e e l i n e,6 8 11 12 14 15 17,- e - e -,b - l i n e,"Simple edit score, Progressive alignment"
6234,bee,3,b e e l i n e,3 8 11 12 14 15 17,- e - e -,b - e l i n -,"Simple edit score, Progressive alignment with LCS"
-----------6236-----------
6235,bee,4,b e e s,6 8 11 18,- e - e -,b - s,"Simple edit score, Progressive alignment"
6235,bee,4,b e e s,3 8 17 18,- e - e -,b - s,"Simple edit score, Progressive alignment with LCS"
-----------6237-----------
6236,bee,5,b u m b l e b e e,3 4 5 6 7 8 10 11 17,- e - e -,b u m b l - b - e,"Simple edit score, Progressive alignment"
6236,bee,5,b u m b l e b e e,3 4 5 6 7 8 10 11 17,- e - e -,b u m b l - b e -,"Simple edit score, Progressive alignment with LCS"
-----------6238-----------
6237,bee,6,b u m b l e b e e s,3 4 5 6 7 8 10 11 17 18,- e - e -,b u m b l - b - e s,"Simple edit score, Progressive alignment"
6237,bee,6,b u m b l e b e e s,3 4 5 6 7 8 10 11 17 18,- e - e -,b u m b l - b e - s,"Simple edit score, Progressive alignment with LCS"
-----------6239-----------
6238,bee,7,h o n e y b e e,0 1 2 8 9 10 11 17,- e - e -,h o n - y b - e,"Simple edit score, Progressive alignment"
6238,bee,7,h o n e y b e e,0 1 2 8 9 10 11 17,- e - e -,h o n - y b e -,"Simple edit score, Progressive alignment with LCS"
-----------6240-----------
6239,bee,8,h o n e y b e e s,0 1 2 8 9 10 11 17 18,- e - e -,h o n - y b - e s,"Simple edit score, Progressive alignment"
6239,bee,8,h o n e y b e e s,0 1 2 8 9 10 11 17 18,- e - e -,h o n - y b e - s,"Simple edit score, Progressive alignment with LCS"
-----------6675-----------
6674,bid,0,b a d e,9 10 13 17,- b - d -,- a - e,"Simple edit score, Progressive alignment"
6674,bid,0,b a d e,9 10 12 17,- b - d -,- a - e,"Simple edit score, Progressive alignment with LCS"
-----------6676-----------
6675,bid,1,b i d,9 11 13,- b - d -,- i -,"Simple edit score, Progressive alignment"
6675,bid,1,b i d,9 11 12,- b - d -,- i -,"Simple edit score, Progressive alignment with LCS"
-----------6677-----------
6676,bid,2,b i d d a b l e,9 11 12 13 14 15 16 17,- b - d -,- i d - a b l e,"Simple edit score, Progressive alignment"
6676,bid,2,b i d d a b l e,9 11 12 13 14 15 16 17,- b - d -,- i - d a b l e,"Simple edit score, Progressive alignment with LCS"
-----------6678-----------
6677,bid,3,b i d d e n,9 11 12 13 17 18,- b - d -,- i d - e n,"Simple edit score, Progressive alignment"
6677,bid,3,b i d d e n,9 11 12 13 17 18,- b - d -,- i - d e n,"Simple edit score, Progressive alignment with LCS"
-----------6679-----------
6678,bid,4,b i d d e r,9 11 12 13 17 20,- b - d -,- i d - e r,"Simple edit score, Progressive alignment"
6678,bid,4,b i d d e r,9 11 12 13 17 20,- b - d -,- i - d e r,"Simple edit score, Progressive alignment with LCS"
-----------6680-----------
6679,bid,5,b i d d e r s,9 11 12 13 17 20 21,- b - d -,- i d - e r s,"Simple edit score, Progressive alignment"
6679,bid,5,b i d d e r s,9 11 12 13 17 20 21,- b - d -,- i - d e r s,"Simple edit score, Progressive alignment with LCS"
-----------6681-----------
6680,bid,6,b i d d i n g,9 11 12 13 14 18 19,- b - d -,- i d - i n g,"Simple edit score, Progressive alignment"
6680,bid,6,b i d d i n g,9 11 12 13 14 18 19,- b - d -,- i - d i n g,"Simple edit score, Progressive alignment with LCS"
-----------6682-----------
6681,bid,7,b i d s,9 11 13 21,- b - d -,- i - s,"Simple edit score, Progressive alignment"
6681,bid,7,b i d s,9 11 12 21,- b - d -,- i - s,"Simple edit score, Progressive alignment with LCS"
-----------6683-----------
6682,bid,8,o u t b a d e,3 7 8 9 10 13 17,- b - d -,o u t - a - e,"Simple edit score, Progressive alignment"
6682,bid,8,o u t b a d e,3 7 8 9 10 12 17,- b - d -,o u t - a - e,"Simple edit score, Progressive alignment with LCS"
-----------6684-----------
6683,bid,9,o u t b i d,3 7 8 9 11 13,- b - d -,o u t - i -,"Simple edit score, Progressive alignment"
6683,bid,9,o u t b i d,3 7 8 9 11 12,- b - d -,o u t - i -,"Simple edit score, Progressive alignment with LCS"
-----------6685-----------
6684,bid,10,o u t b i d d e n,3 7 8 9 11 12 13 17 18,- b - d -,o u t - i d - e n,"Simple edit score, Progressive alignment"
6684,bid,10,o u t b i d d e n,3 7 8 9 11 12 13 17 18,- b - d -,o u t - i - d e n,"Simple edit score, Progressive alignment with LCS"
-----------6686-----------
6685,bid,11,o u t b i d d i n g,3 7 8 9 11 12 13 14 18 19,- b - d -,o u t - i d - i n g,"Simple edit score, Progressive alignment"
6685,bid,11,o u t b i d d i n g,3 7 8 9 11 12 13 14 18 19,- b - d -,o u t - i - d i n g,"Simple edit score, Progressive alignment with LCS"
-----------6687-----------
6686,bid,12,o u t b i d s,3 7 8 9 11 13 21,- b - d -,o u t - i - s,"Simple edit score, Progressive alignment"
6686,bid,12,o u t b i d s,3 7 8 9 11 12 21,- b - d -,o u t - i - s,"Simple edit score, Progressive alignment with LCS"
-----------6688-----------
6687,bid,13,o v e r b i d,3 4 5 6 9 11 13,- b - d -,o v e r - i -,"Simple edit score, Progressive alignment"
